Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won
138,César Blackman,MFDF,pa Panama,28,1998,2,1,0,0,2,2,1,0,1,0
139,Damián Bobadilla,MF,py Paraguay,24,2001,2.1,0,0,0,1,1,0,1,5,3
140,Oscar Bobb,FW,no Norway,22,2003,2.5,0,0,0,1,4,0,2,3,3
141,Moïse Bombito,DF,ca Canada,26,2000,2.1,0,0,0,2,0,0,0,1,0
142,Theo Bongonda,FWMF,cd Congo DR,30,1995,0.4,0,0,0,0,1,0,2,1,0
143,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,2003,2.6,0,0,0,1,3,1,1,1,2
144,Jordy Bos,MFDF,au Australia,23,2002,3.4,1,0,0,4,4,0,8,3,3
145,Ayyoub Bouaddi,MF,ma Morocco,18,2007,4.2,0,0,0,3,6,0,0,1,3
146,Hicham Boudaoui,MF,dz Algeria,26,1999,1.4,1,0,0,4,1,0,1,2,1
147,Karim Boudiaf,MF,qa Qatar,35,1990,1.1,0,0,0,0,2,0,0,0,0
148,Adil Boulbina,FW,dz Algeria,23,2003,0.2,0,0,0,0,0,1,0,0,0
149,Yassine Bounou,GK,ma Morocco,35,1991,6.3,0,0,0,0,4,0,0,0,0
150,Nawaf Boushal,DF,sa Saudi Arabia,26,1999,1,0,0,0,1,1,0,0,1,0
151,Michael Boxall,DF,nz New Zealand,37,1988,2.3,0,0,0,2,2,0,1,2,1
152,Sultan Al-Brake,DF,qa Qatar,30,1996,1.6,0,0,0,2,0,0,5,2,1
153,Joshua Brenet,DF,cw Curaçao,32,1994,2,0,0,0,0,1,1,0,1,4
154,Brian Brobbey,FW,nl Netherlands,24,2002,2.5,0,0,0,4,3,2,1,0,1
155,Dylan Bronn,DF,tn Tunisia,30,1995,0.5,0,0,0,1,0,0,0,1,0
156,Nathaniel Brown,DF,de Germany,22,2003,3.1,0,0,0,4,1,0,17,2,6
157,Tajon Buchanan,MF,ca Canada,27,1999,4.2,0,0,0,5,8,2,16,1,5
158,Ante Budimir,FW,hr Croatia,34,1991,1.7,0,0,0,6,4,0,0,0,1
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26,2000,2.6,1,0,0,2,3,0,0,1,0
160,Cameron Burgess,DF,au Australia,30,1995,1.5,0,0,0,0,0,0,0,1,1
161,Dan Burn,DF,eng England,34,1992,0.4,0,0,0,1,0,0,0,0,0
162,Dženis Burni?,MF,ba Bosnia–Herz,28,1998,0.2,0,0,0,0,0,0,0,0,0
163,Gustavo Caballero,FWMF,py Paraguay,24,2001,1.1,0,0,0,2,2,1,0,0,2
164,Jovane Cabral,FW,cv Cabo Verde,28,1998,1.5,0,0,0,1,2,0,1,1,3
165,Liberato Cacace,DF,nz New Zealand,25,2000,2.4,0,0,0,1,5,0,8,3,2
166,Juan Cáceres,DF,py Paraguay,26,2000,4.8,1,0,0,9,6,0,10,5,11
167,Sebastián Cáceres,DF,uy Uruguay,26,1999,3,0,0,0,2,2,0,1,2,1
168,Jordy Caicedo,FW,ec Ecuador,28,1997,0.2,0,0,0,2,0,0,0,0,0
169,Moisés Caicedo,MF,ec Ecuador,24,2001,4,1,0,0,5,4,0,17,4,6
170,U?urcan Çak?r,GK,tr Türkiye,30,1996,3,0,0,0,0,0,0,0,0,0
171,Hakan Çalhano?lu,MF,tr Türkiye,32,1994,2,0,0,0,2,1,0,10,1,3
172,Lamine Camara,MF,sn Senegal,22,2004,2.8,1,0,0,5,3,0,7,2,1
173,Jaminton Campaz,FWMF,co Colombia,26,2000,0.8,0,0,0,2,3,2,2,0,1
174,?rfan Can Kahveci,MF,tr Türkiye,30,1995,0,0,0,0,0,0,0,0,0,1
175,José Canale,DF,py Paraguay,29,1996,1.8,0,0,0,1,2,0,1,1,6
176,João Cancelo,DF,pt Portugal,32,1994,3.5,0,0,0,6,2,1,17,5,4
177,Agustín Canobbio,FW,uy Uruguay,27,1998,2.5,0,1,0,7,5,1,8,2,3
